area,time,second,num
分会场A,7:30:30,27030,0
分会场A,7:31:00,27060,0
分会场A,7:31:30,27090,0
分会场A,7:32:00,27120,0
分会场A,7:32:30,27150,0
分会场A,7:33:00,27180,0
分会场A,7:33:30,27210,0
分会场A,7:34:00,27240,0
分会场A,7:34:30,27270,0
分会场A,7:35:00,27300,0
分会场A,7:35:30,27330,0
分会场A,7:36:00,27360,0
分会场A,7:36:30,27390,0
分会场A,7:37:00,27420,0
分会场A,7:37:30,27450,0
分会场A,7:38:00,27480,0
分会场A,7:38:30,27510,0
分会场A,7:39:00,27540,0
分会场A,7:39:30,27570,0
分会场A,7:40:00,27600,0
分会场A,7:40:30,27630,0
分会场A,7:41:00,27660,0
分会场A,7:41:30,27690,0
分会场A,7:42:00,27720,0
分会场A,7:42:30,27750,0
分会场A,7:43:00,27780,0
分会场A,7:43:30,27810,0
分会场A,7:44:00,27840,0
分会场A,7:44:30,27870,0
分会场A,7:45:00,27900,0
分会场A,7:45:30,27930,0
分会场A,7:46:00,27960,0
分会场A,7:46:30,27990,0
分会场A,7:47:00,28020,0
分会场A,7:47:30,28050,0
分会场A,7:48:00,28080,0
分会场A,7:48:30,28110,0
分会场A,7:49:00,28140,0
分会场A,7:49:30,28170,0
分会场A,7:50:00,28200,0
分会场A,7:50:30,28230,0
分会场A,7:51:00,28260,0
分会场A,7:51:30,28290,0
分会场A,7:52:00,28320,0
分会场A,7:52:30,28350,0
分会场A,7:53:00,28380,0
分会场A,7:53:30,28410,0
分会场A,7:54:00,28440,0
分会场A,7:54:30,28470,0
分会场A,7:55:00,28500,0
分会场A,7:55:30,28530,0
分会场A,7:56:00,28560,0
分会场A,7:56:30,28590,0
分会场A,7:57:00,28620,0
分会场A,7:57:30,28650,0
分会场A,7:58:00,28680,0
分会场A,7:58:30,28710,0
分会场A,7:59:00,28740,0
分会场A,7:59:30,28770,0
分会场A,8:00:00,28800,0
分会场A,8:00:30,28830,0
分会场A,8:01:00,28860,0
分会场A,8:01:30,28890,0
分会场A,8:02:00,28920,0
分会场A,8:02:30,28950,0
分会场A,8:03:00,28980,0
分会场A,8:03:30,29010,0
分会场A,8:04:00,29040,0
分会场A,8:04:30,29070,0
分会场A,8:05:00,29100,0
分会场A,8:05:30,29130,0
分会场A,8:06:00,29160,0
分会场A,8:06:30,29190,0
分会场A,8:07:00,29220,0
分会场A,8:07:30,29250,0
分会场A,8:08:00,29280,0
分会场A,8:08:30,29310,0
分会场A,8:09:00,29340,0
分会场A,8:09:30,29370,0
分会场A,8:10:00,29400,0
分会场A,8:10:30,29430,0
分会场A,8:11:00,29460,0
分会场A,8:11:30,29490,0
分会场A,8:12:00,29520,0
分会场A,8:12:30,29550,0
分会场A,8:13:00,29580,0
分会场A,8:13:30,29610,0
分会场A,8:14:00,29640,0
分会场A,8:14:30,29670,0
分会场A,8:15:00,29700,0
分会场A,8:15:30,29730,0
分会场A,8:16:00,29760,0
分会场A,8:16:30,29790,0
分会场A,8:17:00,29820,0
分会场A,8:17:30,29850,0
分会场A,8:18:00,29880,0
分会场A,8:18:30,29910,0
分会场A,8:19:00,29940,0
分会场A,8:19:30,29970,0
分会场A,8:20:00,30000,0
分会场A,8:20:30,30030,0
分会场A,8:21:00,30060,0
分会场A,8:21:30,30090,0
分会场A,8:22:00,30120,0
分会场A,8:22:30,30150,0
分会场A,8:23:00,30180,0
分会场A,8:23:30,30210,0
分会场A,8:24:00,30240,0
分会场A,8:24:30,30270,0
分会场A,8:25:00,30300,0
分会场A,8:25:30,30330,0
分会场A,8:26:00,30360,0
分会场A,8:26:30,30390,0
分会场A,8:27:00,30420,0
分会场A,8:27:30,30450,0
分会场A,8:28:00,30480,0
分会场A,8:28:30,30510,0
分会场A,8:29:00,30540,0
分会场A,8:29:30,30570,0
分会场A,8:30:00,30600,0
分会场A,8:30:30,30630,0
分会场A,8:31:00,30660,0
分会场A,8:31:30,30690,0
分会场A,8:32:00,30720,0
分会场A,8:32:30,30750,0
分会场A,8:33:00,30780,0
分会场A,8:33:30,30810,0
分会场A,8:34:00,30840,0
分会场A,8:34:30,30870,0
分会场A,8:35:00,30900,0
分会场A,8:35:30,30930,0
分会场A,8:36:00,30960,0
分会场A,8:36:30,30990,0
分会场A,8:37:00,31020,0
分会场A,8:37:30,31050,0
分会场A,8:38:00,31080,0
分会场A,8:38:30,31110,0
分会场A,8:39:00,31140,0
分会场A,8:39:30,31170,0
分会场A,8:40:00,31200,0
分会场A,8:40:30,31230,0
分会场A,8:41:00,31260,0
分会场A,8:41:30,31290,0
分会场A,8:42:00,31320,0
分会场A,8:42:30,31350,0
分会场A,8:43:00,31380,0
分会场A,8:43:30,31410,0
分会场A,8:44:00,31440,0
分会场A,8:44:30,31470,0
分会场A,8:45:00,31500,0
分会场A,8:45:30,31530,0
分会场A,8:46:00,31560,0
分会场A,8:46:30,31590,0
分会场A,8:47:00,31620,0
分会场A,8:47:30,31650,0
分会场A,8:48:00,31680,0
分会场A,8:48:30,31710,0
分会场A,8:49:00,31740,0
分会场A,8:49:30,31770,0
分会场A,8:50:00,31800,0
分会场A,8:50:30,31830,0
分会场A,8:51:00,31860,0
分会场A,8:51:30,31890,0
分会场A,8:52:00,31920,0
分会场A,8:52:30,31950,0
分会场A,8:53:00,31980,0
分会场A,8:53:30,32010,0
分会场A,8:54:00,32040,0
分会场A,8:54:30,32070,0
分会场A,8:55:00,32100,0
分会场A,8:55:30,32130,0
分会场A,8:56:00,32160,0
分会场A,8:56:30,32190,0
分会场A,8:57:00,32220,0
分会场A,8:57:30,32250,0
分会场A,8:58:00,32280,0
分会场A,8:58:30,32310,0
分会场A,8:59:00,32340,0
分会场A,8:59:30,32370,0
分会场A,9:00:00,32400,0
分会场A,9:00:30,32430,0
分会场A,9:01:00,32460,0
分会场A,9:01:30,32490,0
分会场A,9:02:00,32520,0
分会场A,9:02:30,32550,0
分会场A,9:03:00,32580,0
分会场A,9:03:30,32610,0
分会场A,9:04:00,32640,0
分会场A,9:04:30,32670,0
分会场A,9:05:00,32700,0
分会场A,9:05:30,32730,0
分会场A,9:06:00,32760,0
分会场A,9:06:30,32790,0
分会场A,9:07:00,32820,0
分会场A,9:07:30,32850,0
分会场A,9:08:00,32880,0
分会场A,9:08:30,32910,0
分会场A,9:09:00,32940,0
分会场A,9:09:30,32970,0
分会场A,9:10:00,33000,0
分会场A,9:10:30,33030,0
分会场A,9:11:00,33060,0
分会场A,9:11:30,33090,0
分会场A,9:12:00,33120,0
分会场A,9:12:30,33150,0
分会场A,9:13:00,33180,0
分会场A,9:13:30,33210,0
分会场A,9:14:00,33240,0
分会场A,9:14:30,33270,0
分会场A,9:15:00,33300,0
分会场A,9:15:30,33330,0
分会场A,9:16:00,33360,0
分会场A,9:16:30,33390,0
分会场A,9:17:00,33420,0
分会场A,9:17:30,33450,0
分会场A,9:18:00,33480,0
分会场A,9:18:30,33510,0
分会场A,9:19:00,33540,0
分会场A,9:19:30,33570,0
分会场A,9:20:00,33600,0
分会场A,9:20:30,33630,0
分会场A,9:21:00,33660,0
分会场A,9:21:30,33690,0
分会场A,9:22:00,33720,0
