id,start,end,pos
10001,50580,50596,9
10001,50596,50839,6
10001,50839,50853,9
10001,50853,50865,6
10001,50865,50902,0
10001,50902,57289,3
10001,57289,57305,0
10001,57305,57332,5
10001,57332,58232,0
10001,58232,58519,10
10001,58519,58531,0
10001,58531,59139,5
10001,59139,59181,0
10001,59181,59197,5
10001,59197,59308,0
10001,59308,59513,8
10001,59513,59781,0
10001,59781,62558,3
10003,32640,32664,9
10003,32664,32969,6
10003,32969,32976,9
10003,32976,32984,6
10003,32984,33106,0
10003,33106,35129,1
10003,35129,35342,0
10003,35342,35501,10
10003,35501,35712,0
10003,35712,38048,1
10003,38048,38147,0
10003,38147,39139,2
10003,39139,39284,0
10003,39284,44422,1
10003,44422,44458,0
10003,44458,44619,10
10003,44619,44795,0
10012,30230,30276,9
10012,30276,30489,6
10012,30489,30680,0
10012,30680,38136,1
10012,38136,38256,0
10012,38256,38539,10
10012,38539,38820,0
10012,38820,38840,14
10012,38840,38980,0
10012,38980,39087,5
10012,39087,39570,0
10012,39570,44244,1
10014,28930,28945,9
10014,28945,29349,6
10014,29349,29359,9
10014,29359,29389,6
10014,29389,29464,0
10014,29464,29739,10
10014,29739,29871,0
10014,29871,30719,2
10014,30719,30892,0
10014,30892,35202,1
10014,35202,35267,0
10014,35267,35569,10
10014,35569,35597,0
10014,35597,37791,1
10014,37791,37810,0
10014,37810,37825,14
10014,37825,37946,0
10014,37946,37999,8
10014,37999,38146,0
10014,38146,38153,14
10014,38153,38887,0
10014,38887,39095,10
10014,39095,39121,0
10014,39121,43621,1
10014,43621,43792,0
10014,43792,44181,4
10014,44181,44323,0
10015,29850,29867,9
10015,29867,30229,6
10015,30229,30237,9
10015,30237,30263,6
10015,30263,30895,0
10015,30895,32320,1
10015,32320,32361,0
10015,32361,32402,2
10015,32402,32453,0
10015,32453,38293,1
10015,38293,38437,0
10015,38437,38630,10
10015,38630,39136,0
10015,39136,39269,10
10015,39269,39844,0
10015,39844,44736,1
10015,44736,45150,0
